City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sydney Mines,CA,70.25,broken clouds,46.24,-60.22,At The Harbourfront B&B Inc
8,Banjar,ID,78.44,overcast clouds,-8.19,114.97,The Hamsa Resort
9,Grand Gaube,MU,73.8,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
19,Nhulunbuy,AU,70.41,few clouds,-12.23,136.77,East Arnhem Real Estate
21,Hilo,US,77.29,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
24,Mogadishu,SO,80.47,broken clouds,2.04,45.34,Hotel Juba
26,Harper,LR,78.98,light rain,4.38,-7.72,Screensaver
27,Souillac,MU,73.78,scattered clouds,-20.52,57.52,Bils' Villa
28,Varna,BG,71.74,scattered clouds,43.22,27.92,Golden Tulip Varna
30,Rikitea,PF,71.42,overcast clouds,-23.12,-134.97,People ThankYou
32,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.08,Scoop Guest House
33,Kapaa,US,75.09,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
38,Avarua,CK,71.65,few clouds,-21.21,-159.78,Paradise Inn
39,Tumaco,CO,79.77,broken clouds,1.8,-78.82,Hotel los mellizos
43,Poum,NC,71.96,overcast clouds,-20.23,164.02,
51,Butaritari,KI,81.59,light rain,3.07,172.79,Isles Sunset Lodge
52,Bambous Virieux,MU,73.65,light rain,-20.34,57.76,Casa Tia Villa
54,Lakota,CI,82.99,light rain,5.85,-5.69,Aziz bah divers
56,Freeport,US,79.29,clear sky,40.66,-73.58,The Freeport Inn and Marina
57,Saint-Philippe,RE,71.22,light rain,-21.36,55.77,Le four à pain
61,Nicoya,CR,78.76,overcast clouds,10.15,-85.45,Las Cabinas Del Sueño
68,Mahebourg,MU,73.69,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
71,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
73,Chimoio,MZ,84.69,clear sky,-19.12,33.48,Predio Livraria Ahmed
