,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sydney Mines,CA,46.24,-60.22,70.25,87,75,12.66,broken clouds
1,Kodiak,US,57.79,-152.41,49.51,82,7,3.33,clear sky
2,Puerto Ayora,EC,-0.74,-90.35,67.55,100,100,7.0,overcast clouds
3,Bucak,TR,37.46,30.59,88.32,36,62,6.87,broken clouds
4,Haines Junction,CA,60.75,-137.51,37.35,87,92,3.44,overcast clouds
5,Bluff,NZ,-46.60,168.33,39.79,62,69,10.85,broken clouds
6,Albany,US,42.60,-73.97,62.64,92,100,2.13,light rain
7,Chuy,UY,-33.70,-53.46,59.94,53,0,2.66,clear sky
8,Banjar,ID,-8.19,114.97,78.44,87,100,2.57,overcast clouds
9,Grand Gaube,MU,-20.01,57.66,73.8,71,3,8.99,clear sky
10,Yellowknife,CA,62.46,-114.35,52.32,76,40,6.91,scattered clouds
11,Thompson,CA,55.74,-97.86,60.96,88,0,4.61,clear sky
12,Walvis Bay,NA,-22.96,14.51,76.15,43,0,18.41,clear sky
13,Busselton,AU,-33.65,115.33,51.24,74,68,4.29,broken clouds
14,Provideniya,RU,64.38,-173.30,44.33,98,100,5.1,light rain
15,Geraldton,AU,-28.77,114.60,55.81,88,100,11.5,overcast clouds
16,Raudeberg,NO,61.99,5.14,65.95,74,79,10.76,broken clouds
17,Batemans Bay,AU,-35.72,150.18,45.57,87,10,5.93,clear sky
18,Vaini,TO,-21.20,-175.20,66.36,100,20,3.44,few clouds
19,Nhulunbuy,AU,-12.23,136.77,70.41,88,19,6.91,few clouds
20,Pacific Grove,US,36.62,-121.92,68.43,87,0,8.01,clear sky
21,Hilo,US,19.73,-155.09,77.29,59,2,4.61,clear sky
22,Tasiilaq,GL,65.61,-37.64,40.46,89,29,4.27,scattered clouds
23,Mount Isa,AU,-20.73,139.50,64.17,42,0,6.91,clear sky
24,Mogadishu,SO,2.04,45.34,80.47,74,75,18.41,broken clouds
25,New Norfolk,AU,-42.78,147.06,45.9,75,39,2.37,scattered clouds
26,Harper,LR,4.38,-7.72,78.98,79,71,9.15,light rain
27,Souillac,MU,-20.52,57.52,73.78,73,40,12.66,scattered clouds
28,Varna,BG,43.22,27.92,71.74,71,40,11.5,scattered clouds
29,Snasa,NO,64.25,12.38,65.61,42,11,4.21,few clouds
30,Rikitea,PF,-23.12,-134.97,71.42,70,98,17.09,overcast clouds
31,Port Elizabeth,ZA,-33.92,25.57,66.09,52,0,28.77,clear sky
32,Hithadhoo,MV,-0.60,73.08,82.02,72,92,17.38,overcast clouds
33,Kapaa,US,22.08,-159.32,75.09,89,9,10.71,light rain
34,Cape Town,ZA,-33.93,18.42,61.09,52,61,10.0,broken clouds
35,Bobo Dioulasso,BF,11.18,-4.30,90.05,58,20,5.75,few clouds
36,Hermanus,ZA,-34.42,19.23,58.8,70,40,27.02,light rain
37,Lebedinyy,RU,58.52,125.52,43.02,88,63,5.3,broken clouds
38,Avarua,CK,-21.21,-159.78,71.65,83,20,3.44,few clouds
39,Tumaco,CO,1.80,-78.82,79.77,76,62,4.72,broken clouds
40,Constitucion,CL,-35.33,-72.42,60.46,61,93,1.83,overcast clouds
41,Kaitangata,NZ,-46.28,169.85,31.89,82,79,7.47,broken clouds
42,Langham,CA,52.37,-106.97,55.24,35,7,5.17,clear sky
43,Poum,NC,-20.23,164.02,71.96,71,100,19.15,overcast clouds
44,Leningradskiy,RU,69.38,178.42,32.16,99,100,5.68,snow
45,Bodden Town,KY,19.28,-81.25,87.01,68,20,4.61,few clouds
46,Ushuaia,AR,-54.80,-68.30,42.42,81,40,27.63,scattered clouds
47,Nador,MA,35.17,-2.93,89.67,37,0,12.66,clear sky
48,Jamestown,US,42.10,-79.24,69.19,74,100,6.91,overcast clouds
49,Vao,NC,-22.67,167.48,67.93,64,100,16.98,overcast clouds
50,Slobodskoy,RU,58.73,50.18,46.71,85,95,5.82,overcast clouds
51,Butaritari,KI,3.07,172.79,81.59,78,91,15.26,light rain
52,Bambous Virieux,MU,-20.34,57.76,73.65,73,40,12.66,light rain
53,Hailar,CN,49.20,119.70,39.81,72,12,6.73,few clouds
54,Lakota,CI,5.85,-5.69,82.99,71,60,1.97,light rain
55,Gaoual,GN,11.75,-13.20,86.22,69,80,2.01,light rain
56,Freeport,US,40.66,-73.58,79.29,79,0,3.44,clear sky
57,Saint-Philippe,RE,-21.36,55.77,71.22,84,39,14.74,light rain
58,Mataura,NZ,-46.19,168.86,28.92,93,98,2.68,overcast clouds
59,Usinsk,RU,65.99,57.53,43.29,89,100,13.87,overcast clouds
60,Punta Arenas,CL,-53.15,-70.92,42.82,75,75,18.41,broken clouds
61,Nicoya,CR,10.15,-85.45,78.76,85,89,2.19,overcast clouds
62,Tuatapere,NZ,-46.13,167.68,36.55,84,100,2.59,light rain
63,Airai,TL,-8.93,125.41,58.48,89,81,1.74,broken clouds
64,Hobart,AU,-42.88,147.33,46.26,86,75,8.05,light intensity drizzle
65,Menongue,AO,-14.66,17.69,93.96,11,19,2.21,few clouds
66,Torbay,CA,47.67,-52.73,69.28,88,75,4.61,broken clouds
67,Olafsvik,IS,64.89,-23.71,52.18,68,100,6.29,overcast clouds
68,Mahebourg,MU,-20.41,57.70,73.69,73,40,12.66,scattered clouds
69,Sabalgarh,IN,26.25,77.40,85.05,62,15,7.34,few clouds
70,Tessalit,ML,20.20,1.01,106.09,9,3,6.24,clear sky
71,Sao Joao Da Barra,BR,-21.64,-41.05,71.69,67,100,9.22,overcast clouds
72,Moranbah,AU,-22.00,148.05,59.76,83,79,17.47,broken clouds
73,Chimoio,MZ,-19.12,33.48,84.69,19,0,6.85,clear sky
74,Rocha,UY,-34.48,-54.33,64.08,47,0,2.06,clear sky
75,Vila Franca Do Campo,PT,37.72,-25.43,77.41,61,98,7.9,overcast clouds
76,Jacareacanga,BR,-6.22,-57.75,96.76,24,16,3.51,few clouds
77,Marzuq,YE,14.40,46.47,91.94,26,90,6.08,overcast clouds
78,Asfi,MA,32.30,-9.24,76.24,63,94,22.19,overcast clouds
79,Chanika,TZ,-5.42,38.02,84.15,32,35,8.97,scattered clouds
80,Nome,US,64.50,-165.41,48.27,87,100,8.05,light rain
81,San Quintin,MX,30.48,-115.95,71.96,94,86,4.94,overcast clouds
82,Belaya Gora,RU,68.53,146.42,41.4,63,100,8.16,overcast clouds
83,Bumba,CD,2.18,22.47,84.0,59,70,2.53,broken clouds
